id,produto,quantidade,preço,data
1,caderno 200 folhas,10,15.00,01/02/2023
2,caneta esferografica,25,2.5,02/02/2023
3,lapis HB,30,1.00,03/02/2023
4,borracha,20,1.50,04/02/2023
5,marcador permanente,15,4.00,05/02/2023
6,regua 30cm,18,3.00,06/02/2023
7,tesoura,12,10.00,07/02/2023
8,papel A4,8,20.00,08/02/2023
9,pasta catalogo,16,6.00,09/02/2023
10,envelope(pacote com 10),22,8.00,10/02/2023
11,post-it,14,5.00,11/02/2023
12,fita adesiva,19,4.00,12/02/2023
13,clips,35,2.00,13/02/2023
14,grampeador,9,15.00,14/02/2023
15,grampos,40,3.00,15/02/2023
16,caneta marca texto,15,3.50,16/02/2023
17,papel de carta,25,5.00,17/02/2023
18,caderno de desenho,11,12.00,18/02/2023
19,tinta guache,5,10.00,19/02/2023
20,pincel para pintura,20,2.50,20/02/2023
21,bloco de notas,15,6.00,21/02/2023
22,lapis de cor,10,10.00,22/02/2023
23,papel vegetal,7,7.00,23/02/2023
24,rascunho(bloco),10,10.00,24/02/2023
25,apontador,25,3.00,25/02/2023
26,caneta hidrografica,18,5.00,26/02/2023
27,capa plastica,30,2.00,27/02/2023
28,caderno espiral,15,10.00,28/02/2023
29,cola branca,22,5.00,29/02/2023
30,papel sulfite,12,15.00,30/02/2023
31,etiquetas adesivas,20,6.00,31/02/2023
32,fichario,8,20.00,01/03/2023
33,borracha em formato animal,25,2.50,02/03/2023
34,lapiseira,15,8.00,03/03/2023/
35,papel almaço,10,5.00,04/03/2023
36,pastas suspensas,10,12.00,05/03/2023
52,caderno de atividades,9,10.00,20/03/2023
53,pincel atomico,16,4.00,21/03/2023
54,caderno universitario,5,15.00,22/03/2023
55,caneta gel,20,3.50,23/03/2023
56,conjunto de aquarela,4,25.00,24/03/2023
57,quadro branco,3,50.00,25/03/2023
58,canetas coloridas,12,8.00,26/03/2023
59,cartolina,15,10.00,27/03/2023
60,capa para caderno,22,3.00,28/03/2023
61,regua triangular,18,4.00,01/04/2023
62,calculadora,,20.00,02/04/2023
63,agenda,10,25.00,03/04/2023
64,cartoes postais,20,10.00,04/04/2023
65,pinceis de maquiagem,5,30.00,05/04/2023
66,conjunto de stencil,15,12.00,06/04/2023
67,bloco de desenho,8,15.00,07/04/2023
68,pastel oleoso,4,20.00,08/04/2023
70,caneta de caligrafia,14,6.00,10/04/2023
71,giz de cera,30,7.00,11/04/2023
76,caderno de receitas,10,10.00,16/04/2023
77,caneta para tecido,12,5.00,17/04/2023
78,carimbo,3,15.00,18/04/2023
79,papel crepom,18,6.00,19/04/2023
80,fita dupla face,22,4.50,20/04/2023
81,mini abaco,2,25.00,21/04/2023
82,livro de colorir,5,10.00,22/04/2023
83,adesivos decorativos,12,8.00,24/04/2023
85,material de scrapbook,3,30.00,25/04/2023
86,rotulos adesivos,15,5.00,27/04/2023
88,caneta para quadro branco,8,12.00,31/01/2023
